regime,sigma_s,xi,snr_db,aber_system,aber_system_quad,ref_spread_percent,floor_fast,floor_quad,resolved,f_H_mass,E_H_numeric,E_H_analytic,A0
weak,0.05,3.912,24,3.44702401e-02,3.44631965e-02,0.020434,6.389583e-18,5.045366e-43,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,26,1.31901594e-02,1.31874841e-02,0.020283,1.479369e-17,1.211930e-17,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,28,3.65004440e-03,3.64931109e-03,0.020091,9.525904e-18,4.284414e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,30,6.80015841e-04,6.79880784e-04,0.019861,5.759325e-19,2.359380e-19,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,32,7.98219864e-05,7.98063374e-05,0.019605,4.260381e-18,4.130493e-22,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,34,5.58831850e-06,5.58723821e-06,0.019331,7.931329e-22,3.642712e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,36,2.24289550e-07,2.24246836e-07,0.019044,7.730630e-18,0.000000e+00,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,38,5.04296522e-09,5.04201984e-09,0.018747,0.000000e+00,2.791866e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,40,6.30457593e-11,6.30341249e-11,0.018454,6.789519e-18,1.751063e-17,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,42,4.40834385e-13,4.40741430e-13,0.021086,0.000000e+00,6.999798e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,44,1.75918250e-15,1.75032038e-15,0.503764,1.894027e-22,2.076666e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,46,2.85502025e-18,1.40659770e-17,392.675210,1.334836e-18,0.000000e+00,0,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,48,1.05396820e-18,1.27353521e-17,1108.324132,8.785817e-20,0.000000e+00,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,4.888,16,3.07057044e-01,3.06992525e-01,0.021012,8.486089e-20,8.011236e-19,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,18,2.63412199e-01,2.63357120e-01,0.020910,6.641164e-19,6.966148e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,20,2.13896125e-01,2.13851704e-01,0.020767,1.735257e-18,1.386234e-17,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,22,1.60824443e-01,1.60791304e-01,0.020606,1.025351e-17,5.521043e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,24,1.08585428e-01,1.08563268e-01,0.020408,4.808799e-33,2.835687e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,26,6.31710404e-02,6.31582934e-02,0.020179,5.051191e-40,5.318760e-19,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,28,3.00293853e-02,3.00234159e-02,0.019879,1.231579e-17,1.639709e-21,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,30,1.09430738e-02,1.09409392e-02,0.019506,1.353897e-61,9.735945e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,32,2.84811949e-03,2.84757640e-03,0.019068,9.038296e-18,5.384185e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,34,4.92898720e-04,4.92807192e-04,0.018569,1.478142e-17,2.701994e-17,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,36,5.31454221e-05,5.31358415e-05,0.018027,5.895468e-18,6.105371e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,38,3.38657950e-06,3.38598863e-06,0.017447,1.122633e-234,1.226476e-261,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,40,1.22907554e-07,1.22886864e-07,0.016833,1.759837e-18,0.000000e+00,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,42,2.48921973e-09,2.48881634e-09,0.016205,3.757441e-18,9.588550e-20,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,44,2.79928086e-11,2.79884562e-11,0.015548,5.657455e-18,3.689108e-20,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,46,1.76203075e-13,1.76168081e-13,0.019860,2.050355e-18,1.037091e-17,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.05,4.888,48,6.38033593e-16,6.26403322e-16,1.822830,2.670502e-22,5.795211e-18,1,0.999991,0.321390,0.321393,2.092780e-02
weak,0.1,0.500,16,3.42911525e-02,2.27981520e-02,33.515935,5.228008e-269,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,18,1.90783388e-02,1.24563874e-02,34.709266,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,20,9.92566326e-03,6.34831135e-03,36.041439,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,22,4.86575859e-03,3.04108179e-03,37.500356,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,24,2.26762023e-03,1.38160059e-03,39.072664,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,26,1.01391367e-03,6.00794713e-04,40.744983,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,28,4.38753664e-04,2.52262062e-04,42.504853,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,30,1.85176744e-04,1.03066471e-04,44.341569,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,32,7.67224290e-05,4.12414477e-05,46.245905,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,34,3.13686080e-05,1.62463132e-05,48.208371,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,36,1.27071870e-05,6.32570790e-06,50.219447,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,38,5.11536420e-06,2.44136451e-06,52.273887,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,40,2.05069036e-06,9.35686885e-07,54.372103,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,42,8.19896411e-07,3.56557722e-07,56.511857,0.000000e+00,3.970467e-23,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,44,3.27252065e-07,1.35224051e-07,58.678931,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,46,1.30482040e-07,5.10818245e-08,60.851452,0.000000e+00,0.000000e+00,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.500,48,5.19927412e-08,1.92290897e-08,63.015819,0.000000e+00,1.157792e-22,1,1.000000,1.673209,1.673236,5.228863e-01
weak,0.1,0.789,16,4.58654440e-02,4.58221258e-02,0.094446,2.758878e-19,6.313695e-87,1,1.000005,1.237801,1.237796,2.016348e-01
