regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
strong,0.3,44,0.73873454359442248,0.462780,5,0.025451561277055532,2.93508008592304692e-01,2.93508008592304304e-01,3.885781e-16,1.323910e-15,2.546973e-16,1,1
weak,0.05,34,1.2778525505660312,1.148105,10,0.30967341476400195,2.03336104031621549e-02,2.03336104031621549e-02,0.000000e+00,0.000000e+00,7.574810e-18,1,1
weak,0.05,38,1.1719930309978051,0.605534,10,0.37046500070855298,1.22993334785732496e-02,1.22993334785732548e-02,5.204170e-18,4.231262e-16,4.331466e-19,1,1
weak,0.05,40,3.1892129377216389,3.624030,20,0.049169269687976427,3.46527847948240736e-02,3.46527847948117085e-02,1.236511e-14,3.568287e-13,6.564504e-15,1,1
weak,0.05,44,1.1025522614282128,0.266718,5,0.42153432904824206,6.26891835488221742e-03,6.26891835488221395e-03,3.469447e-18,5.534363e-16,1.597347e-20,1,1
weak,0.1,30,1.3157760222352213,7.800792,20,0.072234858118656889,1.74469316239856037e-01,1.74469316240032701e-01,1.766642e-13,1.012581e-12,1.097986e-13,1,1
weak,0.1,38,0.83201042755939758,1.238247,10,0.18116664532364513,9.11451440926300677e-02,9.11451440926300538e-02,1.387779e-17,1.522603e-16,3.228104e-18,1,1
weak,0.1,44,1.6015666952442977,2.306622,20,0.048742649756110035,3.16023846979913980e-02,3.16023846979902046e-02,1.193490e-15,3.776581e-14,3.499504e-16,1,1
weak,0.2,40,0.69536874583785069,2.756172,20,0.064651590655748617,2.04767761355200195e-01,2.04767761355200084e-01,1.110223e-16,5.421864e-16,7.890872e-17,1,1
weak,0.3,40,0.68642635811092778,6.044689,20,0.029478920659618445,2.85990768093378367e-01,2.85990768093379755e-01,1.387779e-15,4.852530e-15,4.940057e-15,1,1
moderate,0.05,30,4.301667912898921,5.213177,20,0.027022345811120497,2.80019694763969318e-01,2.80019694764027327e-01,5.800915e-14,2.071610e-13,1.159760e-14,1,1
moderate,0.05,34,2.7446315933128185,1.338613,10,0.066400365809159617,1.22855606151228064e-01,1.22855606151228092e-01,2.775558e-17,2.259203e-16,2.868346e-16,1,1
moderate,0.05,38,4.1302420339890284,1.913264,10,0.029312348272475811,1.52970820531510232e-01,1.52970820531508095e-01,2.137179e-15,1.397116e-14,5.484192e-16,1,1
moderate,0.05,40,4.865686414620817,2.109247,20,0.021120201030443736,1.62338882926545164e-01,1.62338882926542638e-01,2.525757e-15,1.555855e-14,6.677876e-16,1,1
moderate,0.1,34,0.67738386476108126,0.323523,5,0.27473868710487703,1.85266018576156433e-01,1.85266018576156460e-01,2.775558e-17,1.498147e-16,4.928924e-18,1,1
moderate,0.1,38,0.99159837715306831,0.440479,5,0.12732114877000361,1.15187262225761658e-01,1.15187262225761630e-01,2.775558e-17,2.409605e-16,3.380888e-17,1,1
moderate,0.1,40,4.0243715711117458,5.771777,20,0.0077181997219894849,2.94177139233696205e-01,2.94177139233739227e-01,4.302114e-14,1.462423e-13,1.785663e-14,1,1
moderate,0.1,44,2.3772329557813796,1.270695,10,0.022119963147016374,1.22380989778202165e-01,1.22380989778201221e-01,9.436896e-16,7.711080e-15,3.017298e-16,1,1
