regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,1.548,46,20,2.096053e-01,0.4261,1,1.708690e-03,3.794053e-19,1.158002e-42,1.609207e-03
weak,0.05,1.548,48,5,2.096053e-01,0.3384,1,8.563734e-04,1.901531e-19,8.887423e-11,1.002364e-03
weak,0.05,1.548,48,10,2.096053e-01,0.3384,1,8.563734e-04,1.901531e-19,7.653415e-21,1.002364e-03
weak,0.05,1.548,48,20,2.096053e-01,0.3384,1,8.563734e-04,1.901531e-19,4.610089e-45,1.002364e-03
weak,0.05,1.548,50,5,2.096053e-01,0.2688,1,4.292034e-04,9.530231e-20,1.118860e-11,6.182912e-04
weak,0.05,1.548,50,10,2.096053e-01,0.2688,1,4.292034e-04,9.530231e-20,3.046879e-22,6.182912e-04
weak,0.05,1.548,50,20,2.096053e-01,0.2688,1,4.292034e-04,9.530231e-20,1.835309e-47,6.182912e-04
weak,0.05,1.967,20,5,1.294337e-01,13.7670,0,8.653793e+04,1.921528e-11,5.631594e+04,-6.440222e+04
weak,0.05,1.967,20,10,1.294337e-01,13.7670,0,8.653793e+04,1.921528e-11,4.806640e+02,-5.191536e+02
weak,0.05,1.967,20,20,1.294337e-01,13.7670,0,8.653793e+04,1.921528e-11,3.364834e-06,2.141463e-01
weak,0.05,1.967,22,5,1.294337e-01,10.9355,0,1.720275e+04,3.819777e-12,7.089757e+03,-7.964258e+03
weak,0.05,1.967,22,10,1.294337e-01,10.9355,0,1.720275e+04,3.819777e-12,1.913558e+01,-2.026345e+01
weak,0.05,1.967,22,20,1.294337e-01,10.9355,0,1.720275e+04,3.819777e-12,1.339565e-08,1.774458e-01
weak,0.05,1.967,24,5,1.294337e-01,8.6864,0,4.668134e+03,1.036534e-12,8.925475e+02,-9.866189e+02
weak,0.05,1.967,24,10,1.294337e-01,8.6864,0,4.668134e+03,1.036534e-12,7.618011e-01,-6.628763e-01
weak,0.05,1.967,24,20,1.294337e-01,8.6864,0,4.668134e+03,1.036534e-12,5.332902e-11,1.427836e-01
weak,0.05,1.967,26,5,1.294337e-01,6.8998,0,1.858418e+03,4.126516e-13,1.123651e+02,-1.223603e+02
weak,0.05,1.967,26,10,1.294337e-01,6.8998,0,1.858418e+03,4.126516e-13,3.032785e-02,7.967170e-02
weak,0.05,1.967,26,20,1.294337e-01,6.8998,1,1.858418e+03,4.126516e-13,2.123067e-13,1.114680e-01
weak,0.05,1.967,28,5,1.294337e-01,5.4807,0,7.398494e+02,1.642796e-13,1.414592e+01,-1.514141e+01
weak,0.05,1.967,28,10,1.294337e-01,5.4807,0,7.398494e+02,1.642796e-13,1.207373e-03,8.313990e-02
weak,0.05,1.967,28,20,1.294337e-01,5.4807,1,7.398494e+02,1.642796e-13,8.452081e-16,8.439627e-02
weak,0.05,1.967,30,5,1.294337e-01,4.3535,0,2.945393e+02,6.540087e-14,1.780866e+00,-1.833825e+00
weak,0.05,1.967,30,10,1.294337e-01,4.3535,0,2.945393e+02,6.540087e-14,4.806640e-05,6.193259e-02
weak,0.05,1.967,30,20,1.294337e-01,4.3535,1,2.945393e+02,6.540087e-14,3.364834e-18,6.198229e-02
weak,0.05,1.967,32,5,1.294337e-01,3.4581,0,1.172582e+02,2.603656e-14,2.241978e-01,-1.922050e-01
